name,datePublished,image
Warriors of Faith,1947,https://www.dropbox.com/scl/fi/fq8r4kbjif7ssto0dc0pn/1947_Warriors-of-Faith.png?rlkey=p7sxx0ms4h3ygjmpm704h6t50&raw=1
The Prince Of Thieves,1948,https://www.dropbox.com/scl/fi/8ftf436lima1vbmwanaw6/1948_The-Prince-Of-Thieves.png?rlkey=ey40ovbhqayqtv47iff7ifpq6&raw=1
The Black Arrow,1948,https://www.dropbox.com/scl/fi/uzs7r3xxyrn002phgbkug/1948_The-Black-Arrow.png?rlkey=xtvaef9xstyxfjdrecmnnbmg5&raw=1
Fiddlers Three,1948,https://www.dropbox.com/scl/fi/uuvzhzoeq60acv3bl1oq3/1948_Fiddlers-Three.png?rlkey=d929rnoghmqs9d3is9xvxy5w5&raw=1
The Wind Is My Lover,1949,https://www.dropbox.com/scl/fi/4hzq2ngtylt9c3a6f7kqt/1949_The-Wind-Is-My-Lover.png?rlkey=o3k33bm78l0nakg8p1fc59olb&raw=1
The Adventures of Sir Galahad,1949,https://www.dropbox.com/scl/fi/tsbx3os2a50ri9ofew8a6/1949_The-Adventures-of-Sir-Galahad.png?rlkey=yl2hn5vqmuj89sxnnjupmlc00&raw=1
A Connecticut Yankee in King Arthur's Court,1949,https://www.dropbox.com/scl/fi/42epf3ch5pzu96hbei73w/1949_A-Connecticut-Yankee-in-King-Arthur-s-Court.png?rlkey=bjsbzxvse7fspj75bl0somsvz&raw=1
Christopher Columbus,1949,https://www.dropbox.com/scl/fi/z4n5kq5ify1znp4ll2v2l/1949_Christopher-Columbus.png?rlkey=7wqfifz0gz4tz6nvamiqex7xy&raw=1
Sicilian Uprising,1949,https://www.dropbox.com/scl/fi/cgw0sa6uymhszetv17d2l/1949_Sicilian-Uprising.png?rlkey=mw1ncew09i2metpfrowilx252&raw=1
The Iron Swordsman,1949,https://www.dropbox.com/scl/fi/y7s370012w7dnkmy8loy5/1949_The-Iron-Swordsman.png?rlkey=ks56154xi13yz515diy08e5wz&raw=1
Du Guesclin,1949,https://www.dropbox.com/scl/fi/o7qpmxo7tt18b4f7he57i/1949_Du-Guesclin.png?rlkey=1kxot2zdxk7lj1ol96v00zoaz&raw=1
The Black Rose,1950,https://www.dropbox.com/scl/fi/pu4becbaa0gn1uqw3v3va/1950_The-Black-Rose.png?rlkey=e87smxxjyalg40g230n4byb0y&raw=1
The Flame and the Arrow,1950,https://www.dropbox.com/scl/fi/vpecvchz9r99zlytdat5j/1950_The-Flame-and-the-Arrow.png?rlkey=migiqyng3xrxbs9oflcwkycgn&raw=1
